ticker,date,open,high,low,close
SE,2017-10-20,16.25,16.99,14.0,16.26
SE,2017-10-23,16.1,16.399,15.12,15.26
SE,2017-10-24,15.41,15.8597,14.77,15.24
SE,2017-10-25,15.1,15.43,13.62,13.73
SE,2017-10-26,13.82,14.16,13.81,14.02
SE,2017-10-27,14.05,14.13,13.8,14.01
SE,2017-10-30,14.1,14.2002,14.0,14.1
SE,2017-10-31,14.11,15.105,14.09,15.08
SE,2017-11-01,15.33,15.49,15.19,15.43
SE,2017-11-02,15.27,15.5,14.9,15.24
SE,2017-11-03,15.28,15.39,14.9,14.99
SE,2017-11-06,15.01,15.01,14.89,15.01
SE,2017-11-07,15.0,15.09,14.91,15.0
SE,2017-11-08,15.0,15.0,14.72,14.84
SE,2017-11-09,14.86,14.95,14.47,14.5
SE,2017-11-10,14.52,14.84,14.5,14.72
SE,2017-11-13,14.57,14.75,14.48,14.73
SE,2017-11-14,14.85,15.05,14.8215,15.01
SE,2017-11-15,15.0,15.0,14.6,14.71
SE,2017-11-16,15.23,15.25,14.96,15.03
SE,2017-11-17,15.0,15.62,15.0,15.0
SE,2017-11-20,15.46,15.59,15.15,15.49
SE,2017-11-21,15.7,15.73,14.78,14.78
SE,2017-11-22,14.78,14.99,13.72,13.85
SE,2017-11-24,13.88,13.96,12.88,13.33
SE,2017-11-27,13.31,13.56,12.52,12.67
SE,2017-11-28,12.61,12.71,10.8165,11.45
SE,2017-11-29,11.5,12.14,10.785,10.97
SE,2017-11-30,11.32,11.94,11.22,11.6
SE,2017-12-01,11.73,12.59,11.65,12.43
SE,2017-12-04,12.32,12.32,11.86,11.98
SE,2017-12-05,11.89,13.02,11.78,12.73
SE,2017-12-06,12.98,13.21,12.03,12.13
SE,2017-12-07,12.2,12.9979,12.2,12.92
SE,2017-12-08,12.98,13.32,12.8367,13.29
SE,2017-12-11,13.33,13.6,12.7,13.41
SE,2017-12-12,13.34,13.45,12.93,13.19
SE,2017-12-13,13.16,13.1799,12.6955,12.72
SE,2017-12-14,12.77,13.0,11.72,11.77
SE,2017-12-15,11.73,12.08,11.58,12.0
SE,2017-12-18,11.95,12.23,11.9,11.92
SE,2017-12-19,11.95,12.05,11.76,11.87
SE,2017-12-20,11.9,12.28,11.89,12.22
SE,2017-12-21,12.38,13.24,12.36,12.77
SE,2017-12-22,12.51,13.64,12.51,13.24
SE,2017-12-26,13.17,13.257,12.8,13.0
SE,2017-12-27,13.0,13.45,13.0,13.38
SE,2017-12-28,13.54,13.9425,13.32,13.5
SE,2017-12-29,13.52,13.91,13.31,13.33
SE,2018-01-02,13.3,13.62,12.97,13.01
SE,2018-01-03,13.05,13.61,12.91,13.5
SE,2018-01-04,13.5,13.6,13.0,13.0
SE,2018-01-05,13.1,13.92,13.025,13.89
SE,2018-01-08,13.9,14.2,13.57,13.87
SE,2018-01-09,13.89,14.2,13.5,13.82
SE,2018-01-10,13.79,14.06,13.5,13.59
SE,2018-01-11,13.71,14.68,13.52,14.23
SE,2018-01-12,14.27,14.57,12.96,12.97
SE,2018-01-16,13.22,13.53,12.68,12.78
SE,2018-01-17,13.16,13.32,12.58,12.63
SE,2018-01-18,12.63,12.95,12.5,12.58
SE,2018-01-19,12.21,12.58,12.01,12.31
SE,2018-01-22,12.49,12.61,12.3,12.59
SE,2018-01-23,12.6,13.57,12.48,12.9
SE,2018-01-24,13.0,13.09,12.41,12.76
SE,2018-01-25,12.82,12.95,12.545,12.75
SE,2018-01-26,12.85,13.36,12.55,13.29
SE,2018-01-29,13.28,13.28,12.2,12.22
SE,2018-01-30,12.22,12.38,11.97,12.03
SE,2018-01-31,12.17,12.59,12.015,12.26
SE,2018-02-01,12.26,12.43,11.83,11.92
SE,2018-02-02,11.88,12.15,11.755,11.93
SE,2018-02-05,11.88,11.88,11.31,11.5
SE,2018-02-06,11.0,11.54,11.0,11.18
SE,2018-02-07,11.2,11.33,11.03,11.2
SE,2018-02-08,11.2,11.35,10.85,10.88
SE,2018-02-09,11.16,11.42,11.02,11.33
SE,2018-02-12,11.45,11.605,11.17,11.49
SE,2018-02-13,11.4,11.74,11.4,11.6
SE,2018-02-14,11.6,11.84,11.55,11.73
SE,2018-02-15,11.75,12.71,11.73,12.38
SE,2018-02-16,12.4,12.5,12.21,12.33
SE,2018-02-20,12.33,12.46,12.33,12.33
SE,2018-02-21,12.44,12.72,12.36,12.52
SE,2018-02-22,12.54,12.72,11.93,11.96
SE,2018-02-23,12.13,12.215,12.02,12.16
SE,2018-02-26,12.25,13.0,12.08,12.15
SE,2018-02-27,12.29,12.57,12.13,12.26
SE,2018-02-28,12.16,12.16,10.56,10.96
SE,2018-03-01,11.0,11.56,10.86,11.03
SE,2018-03-02,11.0,11.1,10.66,10.67
SE,2018-03-05,10.61,10.98,10.61,10.78
SE,2018-03-06,10.8,10.99,10.71,10.93
SE,2018-03-07,10.95,11.61,10.87,11.59
SE,2018-03-08,11.64,12.0,11.13,11.19
SE,2018-03-09,11.74,11.74,11.0,11.08
SE,2018-03-12,11.21,11.6,11.15,11.46
SE,2018-03-13,11.4,11.4,11.1,11.3
SE,2018-03-14,11.32,11.35,11.01,11.15
SE,2018-03-15,11.15,11.35,11.12,11.15
SE,2018-03-16,11.15,11.65,11.14,11.19
SE,2018-03-19,11.21,11.31,10.73,10.76
SE,2018-03-20,10.8,10.86,10.6,10.72
SE,2018-03-21,10.7,10.95,10.66,10.83
SE,2018-03-22,10.7,10.88,10.7,10.81
SE,2018-03-23,10.68,10.96,10.63,10.78
SE,2018-03-26,10.92,11.05,10.73,11.0
SE,2018-03-27,11.11,11.11,10.74,10.87
SE,2018-03-28,10.8,11.02,10.67,10.93
SE,2018-03-29,11.06,11.36,10.98,11.27
SE,2018-04-02,11.15,11.59,11.09,11.25
SE,2018-04-03,11.25,11.49,10.92,11.11
