ticker,date,open,high,low,close
HNGE,2025-05-22,39.5,40.26,37.02,37.56
HNGE,2025-05-23,37.61,40.88,36.75,40.16
HNGE,2025-05-27,40.9,43.7999,40.5,42.13
HNGE,2025-05-28,42.55,42.97,40.45,41.0
HNGE,2025-05-29,41.1865,41.557,38.5,39.16
HNGE,2025-05-30,38.539,40.29,38.0,38.84
HNGE,2025-06-02,39.3,40.47,38.6975,40.45
HNGE,2025-06-03,40.45,41.02,39.635,40.34
HNGE,2025-06-04,40.45,40.7,39.9,40.01
HNGE,2025-06-05,39.94,40.205,38.04,38.5
HNGE,2025-06-06,38.5,39.7468,36.39,38.89
HNGE,2025-06-09,39.7,39.72,37.8031,38.0
HNGE,2025-06-10,38.2366,39.29,35.59,36.59
HNGE,2025-06-11,36.88,36.88,34.26,35.16
HNGE,2025-06-12,34.85,35.59,33.4228,35.02
HNGE,2025-06-13,34.37,36.37,33.62,34.85
HNGE,2025-06-16,36.4,37.2999,35.54,36.21
HNGE,2025-06-17,36.02,39.0,35.81,38.0
HNGE,2025-06-18,38.665,40.15,37.5077,39.73
HNGE,2025-06-20,40.5,43.43,40.0,42.02
HNGE,2025-06-23,43.165,45.98,41.2978,43.69
HNGE,2025-06-24,44.8,48.85,44.8,46.92
HNGE,2025-06-25,47.0,47.335,43.45,44.53
HNGE,2025-06-26,44.52,45.15,41.95,44.96
HNGE,2025-06-27,44.66,48.226,43.33,46.42
HNGE,2025-06-30,48.86,52.16,47.66,51.75
HNGE,2025-07-01,51.0,51.56,45.07,45.31
HNGE,2025-07-02,45.1,45.8,43.25,44.61
HNGE,2025-07-03,45.285,46.745,43.55,46.63
HNGE,2025-07-07,46.14,46.215,41.12,43.07
HNGE,2025-07-08,43.5371,43.66,41.695,43.11
HNGE,2025-07-09,43.495,45.3,43.0,44.82
HNGE,2025-07-10,44.8,45.0,43.7629,44.14
HNGE,2025-07-11,47.452,48.85,47.452,47.64
HNGE,2025-07-14,48.16,50.525,47.71,47.93
HNGE,2025-07-15,48.06,48.82,45.36,45.78
HNGE,2025-07-16,45.74,46.98,44.28,46.95
HNGE,2025-07-17,46.655,47.71,45.8,46.5
HNGE,2025-07-18,47.217,48.71,46.5,46.96
HNGE,2025-07-21,47.55,51.38,46.63,47.26
HNGE,2025-07-22,46.77,46.77,44.5,46.68
HNGE,2025-07-23,46.87,47.25,45.59,47.05
HNGE,2025-07-24,46.7,47.1,45.64,45.98
HNGE,2025-07-25,46.155,46.16,44.75,45.77
HNGE,2025-07-28,45.45,47.0,44.8,45.31
HNGE,2025-07-29,45.175,45.53,42.2701,43.61
HNGE,2025-07-30,43.61,45.79,43.54,45.03
HNGE,2025-07-31,44.57,46.52,43.75,44.94
HNGE,2025-08-01,43.18,45.9,42.56,44.99
HNGE,2025-08-04,45.605,48.61,45.56,48.22
HNGE,2025-08-05,48.4,49.45,46.03,48.22
HNGE,2025-08-06,54.845,62.0,52.25,60.55
HNGE,2025-08-07,60.9667,60.9667,57.68,60.35
HNGE,2025-08-08,60.02,60.64,55.05,56.68
HNGE,2025-08-11,56.85,58.34,54.51,55.72
HNGE,2025-08-12,56.08,56.08,54.04,55.815
HNGE,2025-08-13,56.49,59.15,55.85,58.05
HNGE,2025-08-14,57.15,59.09,56.24,57.19
HNGE,2025-08-15,58.04,60.5,57.25,59.07
HNGE,2025-08-18,59.9,62.18,59.0,59.03
HNGE,2025-08-19,52.0,56.94,50.29,56.07
HNGE,2025-08-20,55.8284,57.42,54.3644,57.24
HNGE,2025-08-21,56.7,57.77,55.92,56.0
HNGE,2025-08-22,55.575,58.11,55.23,57.57
HNGE,2025-08-25,57.0,57.0,54.81,55.07
HNGE,2025-08-26,55.57,55.96,53.97,55.14
HNGE,2025-08-27,54.635,58.0,54.635,57.77
HNGE,2025-08-28,56.99,57.95,55.0,57.73
HNGE,2025-08-29,56.4,57.56,55.5,56.08
HNGE,2025-09-02,55.2,56.135,53.5,55.68
HNGE,2025-09-03,54.74,57.545,54.4,57.44
HNGE,2025-09-04,56.5,57.0,54.3,56.01
HNGE,2025-09-05,55.5,56.3514,54.16,55.07
HNGE,2025-09-08,54.35,56.97,54.35,56.97
HNGE,2025-09-09,55.5,58.25,55.0,57.31
HNGE,2025-09-10,56.5,57.82,55.13,56.16
HNGE,2025-09-11,55.815,60.2,55.13,59.98
HNGE,2025-09-12,59.24,60.01,56.77,57.63
HNGE,2025-09-15,57.05,58.48,56.61,58.07
HNGE,2025-09-16,57.31,59.24,57.11,58.87
HNGE,2025-09-17,58.25,59.67,55.61,56.74
HNGE,2025-09-18,56.6,58.12,56.03,56.91
HNGE,2025-09-19,56.31,57.715,55.749,56.91
HNGE,2025-09-22,55.775,57.84,55.45,57.84
HNGE,2025-09-23,58.44,61.89,58.44,59.64
HNGE,2025-09-24,59.0,59.9374,53.63,54.23
HNGE,2025-09-25,51.64,53.6,49.51,51.25
HNGE,2025-09-26,51.435,51.99,48.38,48.46
HNGE,2025-09-29,49.0,50.7299,48.67,49.89
HNGE,2025-09-30,50.35,50.35,48.6,49.08
HNGE,2025-10-01,49.7,49.75,47.91,48.75
HNGE,2025-10-02,49.4,52.88,48.38,52.82
HNGE,2025-10-03,52.83,53.2,50.9,51.29
HNGE,2025-10-06,52.045,52.23,50.54,51.68
HNGE,2025-10-07,52.49,52.625,50.435,51.16
HNGE,2025-10-08,51.94,54.4,51.16,53.81
HNGE,2025-10-09,54.0,54.2895,50.29,50.36
HNGE,2025-10-10,50.675,50.91,49.29,49.79
HNGE,2025-10-13,50.7466,50.79,49.37,50.4
HNGE,2025-10-14,50.6435,51.01,48.78,50.44
HNGE,2025-10-15,51.12,52.515,50.32,50.41
HNGE,2025-10-16,50.985,51.99,49.97,50.74
HNGE,2025-10-17,50.0,50.15,48.13,49.28
HNGE,2025-10-20,49.56,51.74,49.345,51.28
HNGE,2025-10-21,51.28,51.9,49.69,49.74
HNGE,2025-10-22,49.12,49.5192,47.39,48.86
HNGE,2025-10-23,48.66,50.0,48.24,49.55
HNGE,2025-10-24,49.25,50.5445,48.21,49.6
HNGE,2025-10-27,50.16,50.88,49.2,49.87
HNGE,2025-10-28,49.685,51.21,49.085,50.97
HNGE,2025-10-29,51.0,51.0,48.67,49.6
HNGE,2025-10-30,48.8,49.57,47.09,48.62
HNGE,2025-10-31,48.0,50.35,47.53,49.76
HNGE,2025-11-03,49.565,51.12,49.175,50.34
HNGE,2025-11-04,49.02,53.8,48.0,53.44
HNGE,2025-11-05,47.86,49.5,44.15,45.39
HNGE,2025-11-06,44.21,46.72,43.315,44.04
HNGE,2025-11-07,43.58,45.1,42.6,44.49
HNGE,2025-11-10,45.0,45.36,43.5,44.3
HNGE,2025-11-11,44.6,45.07,43.74,44.31
HNGE,2025-11-12,46.6,46.69,41.9,42.33
HNGE,2025-11-13,42.37,42.5,40.455,41.75
HNGE,2025-11-14,40.855,42.11,40.2,40.96
HNGE,2025-11-17,40.5932,41.62,40.35,40.84
HNGE,2025-11-18,40.125,41.0,39.19,40.62
HNGE,2025-11-19,40.45,44.615,40.392,44.1
HNGE,2025-11-20,44.89,47.15,44.765,45.36
HNGE,2025-11-21,45.675,46.245,43.815,45.99
HNGE,2025-11-24,46.75,47.46,46.72,47.01
HNGE,2025-11-25,47.0,48.36,46.25,48.27
HNGE,2025-11-26,48.27,51.35,48.27,50.05
HNGE,2025-11-28,49.06,50.53,48.7149,48.91
HNGE,2025-12-01,48.6398,49.4799,47.86,47.96
HNGE,2025-12-02,48.4573,49.09,46.51,46.56
HNGE,2025-12-03,47.015,48.18,45.655,46.02
HNGE,2025-12-04,45.945,49.88,45.52,49.66
HNGE,2025-12-05,49.655,50.5,49.21,50.04
HNGE,2025-12-08,50.315,50.88,48.97,49.05
HNGE,2025-12-09,49.3227,50.08,48.75,49.47
HNGE,2025-12-10,49.04,50.25,48.91,49.69
HNGE,2025-12-11,49.485,50.165,48.9148,49.79
HNGE,2025-12-12,49.95,50.29,49.29,49.7
HNGE,2025-12-15,49.79,49.8,47.98,48.5
HNGE,2025-12-16,48.26,49.53,47.9114,48.41
HNGE,2025-12-17,48.44,48.93,47.65,48.0
HNGE,2025-12-18,48.75,49.23,47.95,48.05
HNGE,2025-12-19,48.05,49.0,47.09,47.25
HNGE,2025-12-22,47.25,48.74,47.25,48.64
HNGE,2025-12-23,48.205,49.03,47.48,48.76
HNGE,2025-12-24,48.96,49.18,48.09,48.2
HNGE,2025-12-26,48.2,48.335,47.47,47.54
HNGE,2025-12-29,46.61,47.64,46.61,47.09
HNGE,2025-12-30,47.366,47.366,46.02,46.23
HNGE,2025-12-31,46.23,46.69,45.77,46.45
HNGE,2026-01-02,46.73,46.85,45.3,45.56
HNGE,2026-01-05,45.87,47.04,45.71,46.88
HNGE,2026-01-06,47.385,49.18,47.251,48.83
HNGE,2026-01-07,48.96,50.16,48.48,49.14
HNGE,2026-01-08,49.055,51.15,48.89,49.41
HNGE,2026-01-09,50.155,50.155,47.9,47.92
HNGE,2026-01-12,48.19,48.745,46.0593,48.47
HNGE,2026-01-13,48.81,48.99,46.16,47.13
HNGE,2026-01-14,47.27,47.27,43.01,43.33
HNGE,2026-01-15,43.895,44.61,42.62,43.76
HNGE,2026-01-16,43.79,44.075,42.82,43.33
HNGE,2026-01-20,42.535,42.535,41.31,41.62
HNGE,2026-01-21,41.615,41.97,40.55,41.52
HNGE,2026-01-22,41.97,43.1,41.56,41.77
HNGE,2026-01-23,41.5501,43.61,41.5501,42.56
HNGE,2026-01-26,42.775,42.97,41.15,41.56
HNGE,2026-01-27,41.2,41.22,39.62,40.4
HNGE,2026-01-28,39.88,40.225,37.5,37.65
HNGE,2026-01-29,37.5,37.535,34.31,36.22
HNGE,2026-01-30,36.195,36.74,34.15,34.9
HNGE,2026-02-02,35.06,35.52,34.596,35.23
